DATASET,TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TP,FP,TN,FN,NPOFB20,COST
zookeeper,1,49.840255591054316,Random Forest,true,true,false,0.0,0.0,0.5037114781019482,0.0,0.0,0.0,938.0,161.0,0.09090909090909091,1610
zookeeper,2,64.93775933609959,Random Forest,true,true,false,0.5714285714285714,0.049689440993788817,0.5726197566578746,0.07120389893194089,8.0,6.0,1016.0,153.0,0.21739130434782608,1536
zookeeper,3,74.03993855606758,Random Forest,true,true,false,0.3783783783783784,0.08333333333333333,0.6493285245132536,0.08993276339407978,14.0,23.0,992.0,154.0,0.20833333333333334,1563
zookeeper,4,77.22419928825623,Random Forest,true,true,false,0.46153846153846156,0.15584415584415584,0.5498854087089381,0.1859167024474023,24.0,28.0,1162.0,130.0,0.11764705882352941,1328
zookeeper,5,81.44927536231884,Random Forest,true,true,false,0.37142857142857144,0.1326530612244898,0.6422593863329303,0.12860536138445872,26.0,44.0,1104.0,170.0,0.25,1744
zookeeper,6,83.80566801619433,Random Forest,true,true,false,0.625,0.12244897959183673,0.6397437936213446,0.15640839971035456,30.0,18.0,1137.0,215.0,0.38235294117647056,2168
zookeeper,7,83.72881355932203,Random Forest,true,true,false,0.30392156862745096,0.14285714285714285,0.6666955406950557,0.1218178711771741,31.0,71.0,1392.0,186.0,0.1935483870967742,1931
zookeeper,8,85.90564938846826,Random Forest,true,true,false,0.3673469387755102,0.14285714285714285,0.6230667833476433,0.13353253309978846,36.0,62.0,1380.0,216.0,0.14285714285714285,2222
zookeeper,9,80.8761186999529,Random Forest,true,true,false,0.26857142857142857,0.1865079365079365,0.7163610038610039,0.15901767830706262,47.0,128.0,2462.0,205.0,0.3333333333333333,2178
zookeeper,10,83.84676145339652,Random Forest,true,true,false,0.19745222929936307,0.13025210084033614,0.6727611044417767,0.09730976477839852,31.0,126.0,2499.0,207.0,0.17647058823529413,2196
zookeeper,11,90.62276306370795,Random Forest,true,true,false,0.5,0.3,0.7725604430961573,0.2941810344827585,84.0,84.0,1470.0,196.0,0.225,2044
zookeeper,12,100.0,Random Forest,true,true,false,0.0,0.0,NaN,1.0,0.0,0.0,0.0,0.0,0.0,0
zookeeper,13,91.39679424272163,Random Forest,true,true,false,0.45323741007194246,0.20454545454545456,0.6763190332172719,0.19848284897796437,63.0,76.0,1457.0,245.0,0.18181818181818182,2526
zookeeper,14,92.05058717253839,Random Forest,true,true,false,0.4205607476635514,0.13677811550151975,0.6680286782817844,0.13043809378748372,45.0,62.0,1457.0,284.0,0.23404255319148937,2902
zookeeper,15,92.63598326359832,Random Forest,true,true,false,0.6213592233009708,0.18658892128279883,0.7006712319479287,0.2201393404551791,64.0,39.0,1466.0,279.0,0.1836734693877551,2829
zookeeper,16,92.65960196433187,Random Forest,true,true,false,0.5849056603773585,0.1884498480243161,0.7024116406594957,0.22233570472635047,62.0,44.0,1615.0,267.0,0.1956521739130435,2714
zookeeper,17,93.09432146294515,Random Forest,true,true,false,0.6346153846153846,0.14285714285714285,0.626354038118744,0.16243258872735583,66.0,38.0,1509.0,396.0,0.21212121212121213,3998
zookeeper,18,93.54040063020481,Random Forest,true,true,false,0.5670103092783505,0.10912698412698413,0.6144089806465222,0.11104031693361653,55.0,42.0,1463.0,449.0,0.2535211267605634,4532
zookeeper,19,93.9323467230444,Random Forest,true,true,false,0.5869565217391305,0.09183673469387756,0.5962003379817796,0.0864755375506388,54.0,38.0,1383.0,534.0,0.27380952380952384,5378
zookeeper,20,93.99841017488076,Random Forest,true,true,false,0.6030927835051546,0.1989795918367347,0.6564486541667781,0.18703947497691256,117.0,77.0,1449.0,471.0,0.2857142857142857,4787
zookeeper,21,93.8981153200224,Random Forest,true,true,false,0.4279661016949153,0.19498069498069498,0.6364677373994144,0.14707744648679308,101.0,135.0,1636.0,417.0,0.2602739726027397,4305
zookeeper,22,93.85288966725044,Random Forest,true,true,false,0.4177777777777778,0.20982142857142858,0.663841952286141,0.1792858072634183,94.0,131.0,1878.0,354.0,0.28125,3671
zookeeper,1,49.840255591054316,Naive Bayes,true,true,false,0.0,0.0,0.5052269224529526,0.0,0.0,0.0,1072.0,184.0,0.17391304347826086,1840
